"parameter","truth","estimate","bias","relative_error","within_30_percent"
"kF",0.55,0.666636897125662,0.116636897125662,0.212067085683022,TRUE
"kR",0.18,0.191698966247762,0.0116989662477616,0.0649942569320087,TRUE
"kS",0.025,0.0159653658539129,-0.00903463414608711,0.361385365843484,FALSE
"aF",0.75,0.691360078161043,-0.0586399218389568,0.0781865624519424,TRUE
"aR",0.45,0.532374464158134,0.0823744641581343,0.183054364795854,TRUE
"bR",0.2,0.19088144957845,-0.00911855042154985,0.0455927521077493,TRUE
"gD",0.16,0.285411012855385,0.125411012855385,0.783818830346154,FALSE
"dD",0.025,0.0152593059153745,-0.0097406940846255,0.38962776338502,FALSE
"lS",0.04,0.0314174648333517,-0.00858253516664828,0.214563379166207,TRUE
"sF",0.22,0.22,0,0,TRUE
"sR",0.14,0.14,0,0,TRUE
"sS",0.08,0.08,-1.38777878078145e-17,1.73472347597681e-16,TRUE
"jump0",0.004,0.004,1.73472347597681e-18,4.33680868994202e-16,TRUE
"jumpw",0.006,0.006,-1.73472347597681e-18,2.89120579329468e-16,TRUE
"jumpt",0.003,0.003,-8.67361737988404e-19,2.89120579329468e-16,TRUE
"jumpmean",0.45,0.45,0,0,TRUE
"Sbar",0,0,0,0,TRUE
"Rbar",0,0,0,0,TRUE
"inj0",0.0015,0.00101753200432285,-0.000482467995677155,0.321645330451437,FALSE
"tS",0.34,1.01134378768081,0.671343787680809,1.97454055200238,FALSE
"tF",0.42,0.368481951390763,-0.0515180486092374,0.122662020498184,TRUE
"tR",0.2,0.409185784889127,0.209185784889127,1.04592892444563,FALSE
"tD",0.48,0.388033472595329,-0.0919665274046707,0.191596932093064,TRUE
"tAge",0.12,0.12,0,0,TRUE
"tHist",0.35,0.35,0,0,TRUE
